Year	Leadership Role
 2011	Class Management Committee - Facilities Secretary
 2011	HCI Projects Competition - Leader
 2012	HCI Projects Competition - Leader 
 2013	HCI Projects Competition - Leader
 2013	Class Management Committee - Class Chairman
 2014	Class Management Committee - Class Chairman
 2014	HCI Projects Competition - Leader
 2014 	CCA EC3 ExCo - Chairman
 2014 	Research@YDSP Project - Leader
 2015 	Class Management Committee - Assistant CT Rep
 2015 	Research@YDSP Project - Leader
 2016	CCA InfoComm Robotics Society ExCo - Chairman 
